ZIB_Id,ZIB_Naam,ZIB_Type,ZIB_Card,ZIB_DefCode,ZIB_Verwijzing,openEHR_Path,openEHR_Naam,openEHR_Type,openEHR_Card,openEHR_Term,Commentaar
NL-CM:5.1.1,Probleem,rootconcept,,,ProblemTypeCodelist,,,,,,
NL-CM:14.1.1,Verrichting,,,SNOMED CT: 71388002 Verrichting,,,,,,,
NL-CM:14.1.2,VerrichtingStartDatum,TS,0..1,,,,,,,,
NL-CM:14.1.3,VerrichtingEindDatum,TS,0..1,,,,,,,,
NL-CM:14.1.4,VerrichtingType,CD,1,,VerrichtingTypeCBVCodelijst VerrichtingTypeDHDCodelijst VerrichtingTypeGGZCodelijst VerrichtingTypeNHGCodelijst VerrichtingTypeNZaCodelijst,,,,,,
NL-CM:14.1.12,VerrichtingMethode,CD,0..*,SNOMED CT: 260686004 Methode,VerrichtingMethodeCodelijst,,,,,,
NL-CM:14.1.13,VerrichtingAnatomischeLocatie::AnatomischeLocatie,,0..1,SNOMED CT: 405813007 Directe locatie van verrichting,Dit is een verwijzing naar het rootconcept van de bouwsteen AnatomischeLocatie.,,,,,,
NL-CM:14.1.9,Indicatie::Probleem,,0..*,SNOMED CT: 363702006 Heeft focus,Dit is een verwijzing naar het root concept van de bouwsteen Probleem.,,,,,,
NL-CM:14.1.7,MedischHulpmiddel,,0..*,SNOMED CT: 405815000 Hulpmiddel voor verrichting,Dit is een verwijzing naar het rootconcept van de bouwsteen MedischHulpmiddel.,,,,,,
NL-CM:14.1.5,Locatie::Zorgaanbieder,,0..1,,Dit is een verwijzing naar het rootconcept van de bouwsteen Zorgaanbieder.,,,,,,
NL-CM:14.1.6,Uitvoerder::Zorgverlener,,0..*,,Dit is een verwijzing naar het rootconcept van de bouwsteen Zorgverlener.,,,,,,
NL-CM:14.1.10,Aanvrager::Zorgverlener,,0..*,,Dit is een verwijzing naar het rootconcept van de bouwsteen Zorgverlener.,,,,,,
